62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42917,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ADMITTED,ALL CANCERS,123.5,97,26.5,78.54%,,18,12.5,22,44.5,9,8,6,3.5
,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,43.5,39.5,4,90.80%,,16,4,6,13.5,1.5,0.5,0,2
,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,18.5,3.5,84.09%,,5,2,3,8.5,2,0.5,1,0
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,49,43,6,87.76%,,11.5,3.5,15,13,1.5,0.5,1.5,2.5
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54,44.5,9.5,82.41%,,13,5.5,13.5,12.5,5.5,1,1,2
,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,107,95.5,11.5,89.25%,,29,15.5,21,30,2,4,1.5,4
,RA3,WESTON AREA HEALTH NHS TRUST,ADMITTED,ALL CANCERS,16,12.5,3.5,78.13%,,5,3.5,1.5,2.5,1,0,1.5,1
,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,43.5,6,87.88%,,9,3,14.5,17,2,2,2,0
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,85.5,61,24.5,71.35%,,14,11.5,13,22.5,9.5,5.5,5.5,4
,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,36.5,35.5,1,97.26%,,9,6,9,11.5,0,0.5,0,0.5
,RLQ,WYE VALLEY NHS TRUST,ADMITTED,ALL CANCERS,37.5,32,5.5,85.33%,,15,2,8.5,6.5,1.5,1.5,2,0.5
,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28.5,24.5,4,85.96%,,9,8,4,3.5,1,1.5,0,1.5
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84.5,68.5,16,81.07%,,10,7.5,17.5,33.5,5,4.5,2,4.5
,AQK,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0.5,0,0,0,0,0
,NQT,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,1,1,0,100.00%,,0,0.5,0.5,0,0,0,0,0
,NV3,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,49.5,46.5,3,93.94%,,25,6,6.5,9,1.5,1,0.5,0
,NVM,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,4.5,3.5,1,77.78%,,0,1,0,2.5,0,1,0,0
,NWV,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,1,0.5,0,0,0,0,0,0
,NYG,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,28,27.5,0.5,98.21%,,26,0.5,1,0,0.5,0,0,0
,NYT,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,1,0.5,0,0,0,0,0
,,,,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,ALL CANCERS,7853,6304,1549,80.28%,,1796,888,1357,2263,464,412,277,396
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25,24,1,96.00%,,9.5,3,4,7.5,0.5,0,0.5,0
,RCF,AIREDALE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,22,18.5,3.5,84.09%,,12,2,3.5,1,0,0,3.5,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25.5,23.5,2,92.16%,,14,3,4,2.5,0.5,0,0.5,1
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NON-ADMITTED,ALL CANCERS,51,49.5,1.5,97.06%,,14,5,15,15.5,0,1,0,0.5
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12,11,1,91.67%,,6.5,1.5,3,0,0.5,0.5,0,0
,R1H,BARTS HEALTH NHS TRUST,NON-ADMITTED,ALL CANCERS,32,25.5,6.5,79.69%,,11,0,5,9.5,1.5,1.5,2.5,1
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,45,36,9,80.00%,,18,9,4,5,1,3,3,2
,RC1,BEDFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,20.5,17,3.5,82.93%,,9,1,3,4,2.5,0,0,1
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,11.5,7.5,4,65.22%,,1,1,1,4.5,3.5,0.5,0,0
,RMC,BOLTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27,26,1,96.30%,,9.5,4,5,7.5,0,1,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32,26.5,5.5,82.81%,,12,2,4,8.5,0.5,2,3,0
,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,1,0.5,0.5,50.00%,,0,0,0,0.5,0.5,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,50.5,35.5,15,70.30%,,19,1,4.5,11,4.5,8,0,2.5
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,24.5,19.5,5,79.59%,,13,3,2.5,1,0,2.5,0,2.5
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,6.5,5.5,1,84.62%,,3,1,0.5,1,0,0,0,1
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,34.5,30,4.5,86.96%,,13,1,8,8,1.5,1,0,2
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,55,49.5,5.5,90.00%,,22,9,5,13.5,1.5,1.5,0,2.5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17.5,14,3.5,80.00%,,8.5,1,2,2.5,1.5,1.5,0.5,0
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,34,29,5,85.29%,,11.5,6.5,3.5,7.5,1.5,0,2,1.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,33.5,26,7.5,77.61%,,11.5,4,2,8.5,3.5,1.5,1.5,1
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23,22,1,95.65%,,10.5,5,1,5.5,0,1,0,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,49,36,13,73.47%,,19,5,7,5,6.5,0,4.5,2
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30,22,8,73.33%,,9.5,4.5,1.5,6.5,6,1.5,0,0.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,31.5,28,3.5,88.89%,,14.5,2,3.5,8,0.5,1,0.5,1.5
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,29,25,4,86.21%,,15.5,3.5,4,2,1.5,1,0.5,1
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,NON-ADMITTED,ALL CANCERS,10.5,10,0.5,95.24%,,2,0,1,7,0,0,0.5,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,40,34.5,5.5,86.25%,,16,4,7.5,7,1,2,1.5,1
,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,33.5,28.5,5,85.07%,,18,3.5,4.5,2.5,2.5,2.5,0,0
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27.5,22,5.5,80.00%,,13,4,2,3,3,0.5,1,1
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,65,51.5,13.5,79.23%,,30,6,6.5,9,4,2.5,2.5,4.5
,RJN,EAST CHESHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,10.5,9,1.5,85.71%,,4.5,0.5,1,3,1,0,0.5,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,49,39.5,9.5,80.61%,,14,2,12.5,11,5,0,2,2.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,47,41,6,87.23%,,24.5,7,5.5,4,1,2.5,0.5,2
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,46.5,38,8.5,81.72%,,8,4,14,12,0.5,1.5,3,3.5
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,34.5,30,4.5,86.96%,,15,5.5,2,7.5,1.5,1.5,1.5,0
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,5.5,3,2.5,54.55%,,0.5,0,1,1.5,1.5,0,0.5,0.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18,16,2,88.89%,,6.5,1,5.5,3,0,0.5,0.5,1
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,6.5,5,1.5,76.92%,,1,0,3,1,0.5,0,0,1
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,54,43,11,79.63%,,19.5,3.5,8,12,3,3,3,2
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,20.5,15,5.5,73.17%,,8,1,1,5,1.5,0,0.5,3.5
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,48,36.5,11.5,76.04%,,12,3.5,5,16,3,4.5,0.5,3.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,36.5,30,6.5,82.19%,,19,2,4,5,1.5,3,0.5,1.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,19.5,18.5,1,94.87%,,14,0,2.5,2,0,0,0.5,0.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37.5,35,2.5,93.33%,,11,10,8,6,0,1,1,0.5
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,7,4.5,2.5,64.29%,,3,1,0,0.5,1.5,0.5,0.5,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,51.5,41.5,10,80.58%,,13,5.5,8.5,14.5,1,3,3.5,2.5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,39,35.5,3.5,91.03%,,19,3.5,5,8,3.5,0,0,0
,RGQ,IPSWICH HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,38,34,4,89.47%,,11,5,14,4,0,2,0,2
,R1F,ISLE OF WIGHT NHS TRUST,NON-ADMITTED,ALL CANCERS,35,26.5,8.5,75.71%,,13,1,5,7.5,1,1.5,1,5
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16,14,2,87.50%,,9,2,0,3,2,0,0,0
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,11,10,1,90.91%,,5,0,1,4,0,0,0,1
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28.5,21,7.5,73.68%,,6,3,7,5,3,1,0.5,3
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17.5,17,0.5,97.14%,,13,3,0,1,0,0,0,0.5
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,44.5,30.5,14,68.54%,,14.5,2,5.5,8.5,4.5,4,0.5,5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,65,49.5,15.5,76.15%,,10.5,6,12,21,6,3.5,3.5,2.5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,NON-ADMITTED,ALL CANCERS,14.5,8.5,6,58.62%,,4,0.5,2.5,1.5,1,3.5,0,1.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,2.5,2.5,0,100.00%,,1.5,0,0.5,0.5,0,0,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,1.5,1,0.5,66.67%,,0,0,1,0,0,0,0.5,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,29,25,4,86.21%,,10,5,4,6,1.5,1.5,0,1
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17,15.5,1.5,91.18%,,8,1,4,2.5,0,0,1,0.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,NON-ADMITTED,ALL CANCERS,40.5,29,11.5,71.60%,,12,4,4.5,8.5,4,0,2.5,5
,RPA,MEDWAY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,31.5,30,1.5,95.24%,,11,8,8,3,1,0,0,0.5
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23,20.5,2.5,89.13%,,13,3,2,2.5,1.5,0,0,1
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,25,19.5,5.5,78.00%,,8,5,2,4.5,1.5,3,1,0
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,28.5,25,3.5,87.72%,,7.5,2,8,7.5,1.5,0.5,0,1.5
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12.5,11.5,1,92.00%,,3,1,5.5,2,0,0.5,0.5,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,44.5,39,5.5,87.64%,,11,4,8,16,3.5,2,0,0
,RVJ,NORTH BRISTOL NHS TRUST,NON-ADMITTED,ALL CANCERS,40,39.5,0.5,98.75%,,14,5,11.5,9,0.5,0,0,0
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,21,16.5,4.5,78.57%,,6,0,1,9.5,0,2,2,0.5
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,18.5,16.5,2,89.19%,,2.5,0.5,3.5,10,0.5,0.5,1,0
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16.5,16,0.5,96.97%,,4,1.5,6.5,4,0,0,0.5,0
,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,47,41,6,87.23%,,21,3,7,10,4,0.5,1,0.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,31,22.5,8.5,72.58%,,10,7,4,1.5,4.5,2.5,0.5,1
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,20,12,8,60.00%,,7,2,2,1,3,3,1,1
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28,26,2,92.86%,,10,0.5,8.5,7,0,0,0,2
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,43,35.5,7.5,82.56%,,17.5,3,3,12,3.5,2,1,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,31,28.5,2.5,91.94%,,15.5,4.5,7.5,1,0.5,0.5,1.5,0
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,59,48.5,10.5,82.20%,,33,4,5,6.5,4.5,2.5,0.5,3
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,50,42.5,7.5,85.00%,,14.5,8.5,8,11.5,3.5,2.5,0.5,1
,RK9,PLYMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,69,54,15,78.26%,,24,8,8,14,7,2,2,4
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,14,12,2,85.71%,,6,2,0,4,1,0.5,0,0.5
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,58,50.5,7.5,87.07%,,31.5,7,7,5,3,2.5,0,2
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,2,2,0,100.00%,,2,0,0,0,0,0,0,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,52.5,47,5.5,89.52%,,27,5,7,8,2,1,1,1.5
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,40,34,6,85.00%,,9,5,6,14,3,1,1,1
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,60,39,21,65.00%,,21,3,5,10,11,3,1,6
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,42,32.5,9.5,77.38%,,13.5,3,5,11,2.5,2,0,5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,18,15,3,83.33%,,7,3,5,0,1,0.5,0.5,1
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,2.5,2.5,0,100.00%,,0,0,1,1.5,0,0,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30,22.5,7.5,75.00%,,7.5,0.5,6.5,8,3,0.5,1.5,2.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,51.5,46,5.5,89.32%,,27,4,5,10,1.5,0,3,1
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,45,41.5,3.5,92.22%,,31,3,1,6.5,1,1,0.5,1
,RNZ,SALISBURY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15.5,12.5,3,80.65%,,2.5,2,1,7,2,0,0,1
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,35.5,32,3.5,90.14%,,7,9,6,10,1,1,1.5,0
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,67.5,50,17.5,74.07%,,25.5,7,5.5,12,6.5,7.5,3.5,0
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25,22,3,88.00%,,12,4,4,2,2,0,0,1
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,69,61,8,88.41%,,27,11,14,9,0,4,1,3
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,45,37.5,7.5,83.33%,,19,4.5,10,4,2.5,1.5,2.5,1
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,13,13,0,100.00%,,6,0.5,3,3.5,0,0,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29.5,24.5,5,83.05%,,12,5,4,3.5,2,1,1.5,0.5
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29,21.5,7.5,74.14%,,12,2,2,5.5,2,3,1,1.5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,22.5,17.5,5,77.78%,,9,2,0.5,6,3,1,0,1
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,21,19.5,1.5,92.86%,,13,1,0.5,5,1,0.5,0,0
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,33.5,29.5,4,88.06%,,14,2.5,7,6,1.5,0.5,0.5,1.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18.5,16.5,2,89.19%,,5,3,1.5,7,0.5,1,0.5,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,21.5,19.5,2,90.70%,,5,3.5,5,6,0,0.5,0,1.5
,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,19.5,18.5,1,94.87%,,7,2.5,4,5,0,0.5,0.5,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29,26,3,89.66%,,13,5,1,7,0,0,1,2
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,63,44,19,69.84%,,3.5,2.5,9.5,28.5,8.5,5,3,2.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,51,32.5,18.5,63.73%,,4.5,4,7,17,9,4,2,3.5
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30,29.5,0.5,98.33%,,9,6,4,10.5,0,0,0,0.5
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,11,10,1,90.91%,,5,2,2,1,0.5,0,0,0.5
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,72,62.5,9.5,86.81%,,41,2.5,8.5,10.5,2.5,3,2,2
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,24,21.5,2.5,89.58%,,10,1.5,4.5,5.5,1,0.5,1,0
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",NON-ADMITTED,ALL CANCERS,51.5,47,4.5,91.26%,,13,5,10,19,1.5,1,0,2
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,13,11.5,1.5,88.46%,,6.5,1,0,4,0,0.5,1,0
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,40,35.5,4.5,88.75%,,13.5,5,6,11,3,0,0,1.5
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25,18,7,72.00%,,6,3,1,8,1.5,2,1.5,2
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,1,0,1,0.00%,,0,0,0,0,1,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,NON-ADMITTED,ALL CANCERS,33.5,28,5.5,83.58%,,14,3,0,11,2,0,1,2.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,5.5,5,0.5,90.91%,,1,1,2,1,0,0,0.5,0
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,50,44,6,88.00%,,24,7,8,5,3,2,1,0
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,92,66,26,71.74%,,43,3,6,14,10,4,2,10
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,10.5,8.5,2,80.95%,,5,1,0,2.5,0,0,0,2
