62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: May 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,43.5,37,6.5,85.06%,,11.5,7,11.5,7,2.5,1,1.5,1.5
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,33,5.5,85.71%,,8,8.5,8,8.5,1.5,2,1,1
,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88.5,78,10.5,88.14%,,21,15,15.5,26.5,2.5,1.5,4.5,2
,RA3,WESTON AREA HEALTH NHS TRUST,ADMITTED,ALL CANCERS,20.5,16.5,4,80.49%,,0.5,0,10,6,1.5,0,0,2.5
,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,44.5,2.5,94.68%,,14,4,11,15.5,0.5,0,0.5,1.5
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,61,46,15,75.41%,,10,5,6,25,1.5,4,2,7.5
,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,30,28,2,93.33%,,10.5,3,5,9.5,0.5,1.5,0,0
,RLQ,WYE VALLEY NHS TRUST,ADMITTED,ALL CANCERS,38,32,6,84.21%,,9,5.5,7.5,10,4,0,1,1
,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,22,8.5,72.13%,,6,7.5,4,4.5,3.5,2,1.5,1.5
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67,55.5,11.5,82.84%,,14,12,14,15.5,5,2.5,2,2
,AQK,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,1,1,0,100.00%,,0.5,0.5,0,0,0,0,0,0
,NV3,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,29.5,25,4.5,84.75%,,15,4,3,3,1,2,0.5,1
,NVM,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,2,2,0,100.00%,,2,0,0,0,0,0,0,0
,NWV,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,2,1.5,0.5,75.00%,,0.5,0,0.5,0.5,0,0.5,0,0
,,,,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,ALL CANCERS,7132,5757,1375,80.72%,,1526,858,1254,2119,451,367,256,301
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18.5,17,1.5,91.89%,,7,0,3.5,6.5,0,0,0,1.5
,RCF,AIREDALE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,13,13,0,100.00%,,7,3,1.5,1.5,0,0,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29.5,23.5,6,79.66%,,15,3,2.5,3,0,1.5,2,2.5
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NON-ADMITTED,ALL CANCERS,43.5,25,18.5,57.47%,,6,2,6,11,7.5,4,0,7
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,7.5,5,2.5,66.67%,,3,1,0,1,0,0.5,0,2
,R1H,BARTS HEALTH NHS TRUST,NON-ADMITTED,ALL CANCERS,47,44,3,93.62%,,14,5.5,10,14.5,0,2,0,1
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,44.5,34.5,10,77.53%,,21,5,4.5,4,3.5,4,0,2.5
,RC1,BEDFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,22,18,4,81.82%,,13,1,3,1,2,0,1,1
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0,0.5
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,26,24,2,92.31%,,9,3,8,4,1,0,0,1
,RMC,BOLTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,31.5,31,0.5,98.41%,,16,3.5,4.5,7,0,0,0,0.5
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24.5,23,1.5,93.88%,,15,1,1,6,1,0.5,0,0
,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,10,10,0,100.00%,,8,1,1,0,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,62.5,49,13.5,78.40%,,34,2,4,9,5,4.5,1,3
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,16.5,16,0.5,96.97%,,6,1,7,2,0,0,0.5,0
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16.5,15.5,1,93.94%,,9,1,2,3.5,0.5,0.5,0,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32,29.5,2.5,92.19%,,14,6.5,3,6,0.5,1,0.5,0.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,42,36,6,85.71%,,20.5,5,4,6.5,1.5,2.5,0.5,1.5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23,20,3,86.96%,,9.5,1.5,4,5,1,1,0.5,0.5
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,14.5,12.5,2,86.21%,,7.5,2,3,0,1,1,0,0
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,20,17,3,85.00%,,8,2.5,3,3.5,0,0.5,0.5,2
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,41,36.5,4.5,89.02%,,9,2,11.5,14,0.5,0,2,2
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,39,26.5,12.5,67.95%,,6,4,7,9.5,4,2,1.5,5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18,16,2,88.89%,,6,3,2.5,4.5,1,1,0,0
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17,14,3,82.35%,,9,1,0.5,3.5,0.5,1,0,1.5
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,11.5,9,2.5,78.26%,,2,3,1.5,2.5,1,0,0,1.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,NON-ADMITTED,ALL CANCERS,6.5,6,0.5,92.31%,,2,1,1,2,0,0,0,0.5
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,31.5,23.5,8,74.60%,,6,2,8,7.5,4.5,0.5,1,2
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,40.5,37,3.5,91.36%,,23,3,3.5,7.5,0,3.5,0,0
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,22,17,5,77.27%,,6,1,3,7,2.5,1,0,1.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,61.5,48.5,13,78.86%,,12.5,10.5,8,17.5,5,3.5,2.5,2
,RJN,EAST CHESHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,22.5,19,3.5,84.44%,,8.5,0,5,5.5,2,1,0.5,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,60.5,51.5,9,85.12%,,18,6,11,16.5,5.5,0,2.5,1
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,48.5,43.5,5,89.69%,,20,6,6,11.5,1.5,1.5,1,1
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,54,31,23,57.41%,,16,4,5,6,8.5,6.5,2,6
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,31,27.5,3.5,88.71%,,13,5.5,5,4,2,1.5,0,0
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,46,40,6,86.96%,,17,6,3,14,1,2.5,0,2.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16.5,14.5,2,87.88%,,6,4,1.5,3,0,2,0,0
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,7.5,6,1.5,80.00%,,4,0,1,1,0.5,0,0,1
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,79,59.5,19.5,75.32%,,35,4,8,12.5,4,3,4,8.5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24.5,21,3.5,85.71%,,14,3,1,3,2,1,0.5,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,36.5,27.5,9,75.34%,,9,7,5,6.5,4.5,2,1.5,1
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,49,44.5,4.5,90.82%,,28.5,5.5,3,7.5,1,2.5,1,0
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28.5,26,2.5,91.23%,,18.5,1,3.5,3,1,0,1.5,0
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,48.5,40.5,8,83.51%,,15,4,12,9.5,7,0,0,1
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,NON-ADMITTED,ALL CANCERS,7.5,7.5,0,100.00%,,2,1,1,3.5,0,0,0,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,11,11,0,100.00%,,6,3.5,1,0.5,0,0,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,52,42.5,9.5,81.73%,,14,6,8,14.5,3,1,3.5,2
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,23,16.5,6.5,71.74%,,8,0,5.5,3,2,0,2,2.5
,RGQ,IPSWICH HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,36.5,33,3.5,90.41%,,15,3,8,7,1,0,1.5,1
,R1F,ISLE OF WIGHT NHS TRUST,NON-ADMITTED,ALL CANCERS,28.5,23,5.5,80.70%,,15,3,1,4,3,2,0.5,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25.5,23.5,2,92.16%,,13,1,2,7.5,0,1,1,0
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32.5,31.5,1,96.92%,,13,8,5,5.5,0.5,0,0,0.5
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25.5,19.5,6,76.47%,,5,4,4.5,6,2.5,0.5,0.5,2.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,13,12,1,92.31%,,8,1,1,2,0.5,0.5,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,43.5,33.5,10,77.01%,,10,5,4.5,14,4.5,2,2,1.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,49.5,32.5,17,65.66%,,10.5,2.5,8,11.5,5,8,2,2
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,NON-ADMITTED,ALL CANCERS,21.5,19,2.5,88.37%,,4,6,1.5,7.5,0,0.5,1.5,0.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,8,6.5,1.5,81.25%,,4,0,1.5,1,0.5,1,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,22.5,17.5,5,77.78%,,8,2,0.5,7,3.5,1,0.5,0
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29,25.5,3.5,87.93%,,16,3,3.5,3,2,0.5,0,1
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,NON-ADMITTED,ALL CANCERS,33.5,27,6.5,80.60%,,11.5,1,6,8.5,3.5,0,1.5,1.5
,RPA,MEDWAY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30.5,29.5,1,96.72%,,4.5,12,8,5,1,0,0,0
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29.5,29,0.5,98.31%,,12.5,3,6.5,7,0.5,0,0,0
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,35.5,29,6.5,81.69%,,13,3,10,3,2,0.5,3,1
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,32.5,28.5,4,87.69%,,9,4,6,9.5,0,2.5,0,1.5
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25.5,22,3.5,86.27%,,11,2,5,4,1,1,0,1.5
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,50.5,39.5,11,78.22%,,20,6,2,11.5,1,7,2,1
,RVJ,NORTH BRISTOL NHS TRUST,NON-ADMITTED,ALL CANCERS,53,47.5,5.5,89.62%,,21.5,5.5,9.5,11,1,3,1,0.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,16.5,12,4.5,72.73%,,5,1,3,3,2,0,0,2.5
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,10,8.5,1.5,85.00%,,3,0,2,3.5,1,0.5,0,0
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,31,25,6,80.65%,,13.5,3,4.5,4,1.5,3,0,1.5
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,30.5,24,6.5,78.69%,,8,7,5,4,1.5,3,1,1
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,13.5,12.5,1,92.59%,,5,2,3.5,2,0,0,1,0
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,39,35,4,89.74%,,15,2,6,12,1,2,0.5,0.5
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24,18,6,75.00%,,9,3,4.5,1.5,2,2.5,0,1.5
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,57.5,50,7.5,86.96%,,26.5,4,5,14.5,1,3.5,2,1
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,44,37,7,84.09%,,7,9,11,10,2,1,4,0
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0.5,0,0,0,0,0,0,0
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,50.5,42.5,8,84.16%,,16,5,9,12.5,1,4.5,2,0.5
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17.5,13,4.5,74.29%,,4,3,3,3,2,1,1.5,0
,RK9,PLYMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,51,43,8,84.31%,,24,6,4,9,4,3,0,1
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,8,6,2,75.00%,,1.5,1,1.5,2,1,0.5,0,0.5
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,65.5,46.5,19,70.99%,,16,4,11,15.5,2.5,11,3,2.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,3,3,0,100.00%,,2,0,1,0,0,0,0,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,49,45.5,3.5,92.86%,,19,2,11,13.5,0,1.5,1,1
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,47,44,3,93.62%,,32,2,3,7,0,0,1,2
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,41.5,26.5,15,63.86%,,10,1,5.5,10,5,8,1,1
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,40.5,36,4.5,88.89%,,10.5,6,9,10.5,1.5,0.5,1,1.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,13,11.5,1.5,88.46%,,8.5,0.5,1.5,1,0.5,0.5,0,0.5
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,3,2.5,0.5,83.33%,,0,0,1.5,1,0,0.5,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30.5,19,11.5,62.30%,,5,2.5,2.5,9,2.5,2,1.5,5.5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,54,49,5,90.74%,,29,7,6,7,2,2,0,1
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,39.5,37.5,2,94.94%,,30.5,2,1,4,0.5,0,0.5,1
,RNZ,SALISBURY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15,13,2,86.67%,,3,4,4,2,1,1,0,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,28.5,22.5,6,78.95%,,6,7,4,5.5,1,2,3,0
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,59,41,18,69.49%,,17,8.5,2.5,13,5,6.5,2.5,4
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,19,13.5,5.5,71.05%,,7,2,3,1.5,3,0.5,1,1
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,53.5,50,3.5,93.46%,,23,9,9,9,0,1,0,2.5
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,36,27,9,75.00%,,9.5,5,6.5,6,3,4,0,2
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,8.5,8.5,0,100.00%,,4,1,1,2.5,0,0,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17.5,15,2.5,85.71%,,7,1,4,3,1.5,0,0,1
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,31.5,19,12.5,60.32%,,4,3,4.5,7.5,4,4,1.5,3
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,28.5,20,8.5,70.18%,,7,2.5,4.5,6,4,2,0.5,2
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,20,17,3,85.00%,,9,4,1,3,0,1.5,0,1.5
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,45.5,40,5.5,87.91%,,27.5,3.5,3.5,5.5,3,0.5,0.5,1.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15,12.5,2.5,83.33%,,6.5,1.5,3,1.5,1.5,1,0,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,36.5,31,5.5,84.93%,,12.5,5,9,4.5,1,3.5,0.5,0.5
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23.5,21.5,2,91.49%,,12,1.5,2.5,5.5,0,1,0.5,0.5
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,39,26,13,66.67%,,11,4,4,7,3.5,5.5,2,2
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,69.5,48.5,21,69.78%,,2.5,4.5,13,28.5,8,7.5,3.5,2
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,51,31.5,19.5,61.76%,,6,3,7.5,15,4.5,5.5,3,6.5
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,22,19.5,2.5,88.64%,,10,2,2.5,5,1,1,0.5,0
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17.5,17,0.5,97.14%,,10.5,0.5,2,4,0,0,0,0.5
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,75.5,65.5,10,86.75%,,45,0,7,13.5,2.5,4.5,0,3
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,19.5,15,4.5,76.92%,,7,1,1,6,3.5,1,0,0
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",NON-ADMITTED,ALL CANCERS,28,24.5,3.5,87.50%,,8,4,9,3.5,1,1.5,1,0
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,22.5,22,0.5,97.78%,,9,3,3,7,0,0.5,0,0
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,42,36,6,85.71%,,15.5,9,5.5,6,1.5,3.5,0,1
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,22.5,16,6.5,71.11%,,9.5,1.5,0.5,4.5,2.5,2.5,0.5,1
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,NON-ADMITTED,ALL CANCERS,34,29.5,4.5,86.76%,,16,1,3.5,9,2,1,0.5,1
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,7,5.5,1.5,78.57%,,1,0,2.5,2,1.5,0,0,0
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,47,44,3,93.62%,,22,12,3,7,0,0,1,2
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,64.5,44,20.5,68.22%,,24,3,5,12,10.5,6,3,1
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,11,6.5,4.5,59.09%,,2,0,2,2.5,2.5,0.5,0,1.5
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,20,16.5,3.5,82.50%,,6.5,1.5,3.5,5,1,2,0.5,0
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,66.5,61.5,5,92.48%,,31,3,8,19.5,2,1,2,0
