62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: July 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
E18000005,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57,42,15,73.68%,,18,5,5.5,13.5,2.5,4,3,5.5
E18000010,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81,70,11,86.42%,,18.5,11,13,27.5,2.5,3.5,1.5,3.5
E18000005,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ADMITTED,ALL CANCERS,87,78.5,8.5,90.23%,,19.5,9,25,25,1.5,3.5,1.5,2
E18000004,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,100.5,62,38.5,61.69%,,24,2,15.5,20.5,16,9,6,7.5
E18000002,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,43.5,6,87.88%,,9.5,6,14,14,1,0,3,2
E18000005,RBK,WALSALL HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,37.5,32,5.5,85.33%,,10,5,3,14,1.5,2.5,0,1.5
E18000002,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20.5,20,0.5,97.56%,,6.5,2,5,6.5,0,0,0.5,0
E18000006,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,48.5,44,4.5,90.72%,,9.5,11.5,11.5,11.5,0,2,0.5,2
E18000007,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,16.5,15,1.5,90.91%,,2,1.5,3.5,8,0,0.5,0.5,0.5
E18000006,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56,49.5,6.5,88.39%,,6,8.5,11.5,23.5,0.5,1.5,2,2.5
E18000008,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,80,66.5,13.5,83.13%,,23,11.5,8.5,23.5,2,5.5,1,5
E18000010,RA3,WESTON AREA HEALTH NHS TRUST,ADMITTED,ALL CANCERS,19.5,17,2.5,87.18%,,3,3,2.5,8.5,0,1.5,0,1
E18000007,RGC,WHIPPS CROSS UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0.5,0,0,0
E18000002,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53.5,45,8.5,84.11%,,21,6.5,7,10.5,3.5,1.5,0.5,3
E18000005,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,77.5,59,18.5,76.13%,,15,7,9.5,27.5,7,2,2.5,7
E18000002,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,29.5,28,1.5,94.92%,,11,4,6.5,6.5,0,1.5,0,0
E18000005,RLQ,WYE VALLEY NHS TRUST,ADMITTED,ALL CANCERS,45,37.5,7.5,83.33%,,15.5,4,3.5,14.5,3,0.5,2,2
E18000010,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,33,4.5,88.00%,,12,7,5.5,8.5,1.5,2,0,1
E18000003,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,84.5,73,11.5,86.39%,,17.5,13.5,18,24,5,3.5,0,3
N/A,NWV,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,1,0,1,0.00%,,0,0,0,0,0,0.5,0,0.5
N/A,NVM,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,3,3,0,100.00%,,2,0,0,1,0,0,0,0
N/A,NV3,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,40,34.5,5.5,86.25%,,13,6.5,3.5,11.5,2,1.5,0.5,1.5
E18000009,5QT,DISCONTINUED ORGANISATION,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
E18000008,5P5,DISCONTINUED ORGANISATION,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0.5,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,ALL CANCERS,7605,6175,1430,81.20%,,1716,945,1285,2229,428,349,229,424
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
ONS AREA ID (1),ODS CODE (2),ACCOUNTABLE PROVIDER,CARE SETTING (3),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
E18000002,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18,14,4,77.78%,,5,3.5,3.5,2,3.5,0.5,0,0
E18000003,RCF,AIREDALE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,13.5,13.5,0,100.00%,,8,1,2.5,2,0,0,0,0
E18000008,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,38.5,30.5,8,79.22%,,22,2,5,1.5,1.5,6,0,0.5
E18000007,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NON-ADMITTED,ALL CANCERS,55,37,18,67.27%,,8,5,5,19,4,6,1,7
E18000003,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12.5,10.5,2,84.00%,,6,2,0.5,2,0,1,0,1
E18000007,R1H,BARTS HEALTH NHS TRUST,NON-ADMITTED,ALL CANCERS,58,45.5,12.5,78.45%,,18,7.5,7.5,12.5,5.5,3,2.5,1.5
E18000006,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,45.5,38.5,7,84.62%,,20,7.5,5,6,2,1,1,3
E18000006,RC1,BEDFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,20,19.5,0.5,97.50%,,7,3,2,7.5,0,0.5,0,0
E18000005,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0.5,0,0,0,0,0
E18000002,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16,13,3,81.25%,,4.5,0,3,5.5,1.5,1,0,0.5
E18000002,RMC,BOLTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29,28.5,0.5,98.28%,,14.5,4.5,4,5.5,0,0,0.5,0
E18000003,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29,25,4,86.21%,,15,2,2.5,5.5,0,0.5,2,1.5
E18000002,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,4,4,0,100.00%,,4,0,0,0,0,0,0,0
E18000008,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,36.5,25,11.5,68.49%,,19,2,2,2,2,3,1,5.5
E18000009,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,20,18,2,90.00%,,7,1,1,9,2,0,0,0
E18000005,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16,14.5,1.5,90.63%,,9,2,0,3.5,0.5,1,0,0
E18000003,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,34,30,4,88.24%,,10,5,5,10,0,1,1,2
E18000006,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,57,41.5,15.5,72.81%,,13.5,11.5,9,7.5,6,3.5,2,4
E18000002,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,26.5,20.5,6,77.36%,,10.5,1,1.5,7.5,2,3.5,0.5,0
E18000007,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,9,8.5,0.5,94.44%,,6,0.5,0,2,0.5,0,0,0
E18000004,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,21.5,18.5,3,86.05%,,10,0.5,5,3,2,1,0,0
E18000001,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,33.5,31,2.5,92.54%,,8,2,6.5,14.5,1,1,0,0.5
E18000006,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27.5,17,10.5,61.82%,,7,1,4,5,4,2,2.5,2
E18000002,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23.5,23,0.5,97.87%,,11,1,3.5,7.5,0,0.5,0,0
E18000001,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,38.5,34,4.5,88.31%,,16,0.5,7,10.5,2.5,0,2,0
E18000007,RJ6,CROYDON HEALTH SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,34,28,6,82.35%,,9,5,5,9,1.5,1,2,1.5
E18000008,RN7,DARTFORD AND GRAVESHAM NHS TRUST,NON-ADMITTED,ALL CANCERS,13.5,11.5,2,85.19%,,6,0,2,3.5,0,1,1,0
E18000004,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32,20.5,11.5,64.06%,,7,1,5,7.5,5.5,3,2,1
E18000003,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,40.5,35,5.5,86.42%,,19.5,5,2.5,8,1.5,0.5,3,0.5
E18000010,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27.5,23,4.5,83.64%,,8,2,6,7,2,0,1,1.5
E18000006,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,60.5,49,11.5,80.99%,,21.5,10,9.5,8,6.5,1,1.5,2.5
E18000002,RJN,EAST CHESHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,29,26.5,2.5,91.38%,,11.5,3.5,4,7.5,1.5,0,1,0
E18000008,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,61.5,42,19.5,68.29%,,26,5,4,7,7,6.5,2,4
E18000002,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,41.5,36.5,5,87.95%,,27.5,1.5,4,3.5,2,1,0,2
E18000008,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,35,30,5,85.71%,,13,1,3.5,12.5,0,1,2,2
E18000007,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,35,31,4,88.57%,,8,8,9.5,5.5,1.5,1,1,0.5
E18000008,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,13.5,10.5,3,77.78%,,5,0,0,5.5,0,0,2,1
E18000001,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27,25,2,92.59%,,16,2.5,2,4.5,1,0,1,0
E18000005,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,10,8.5,1.5,85.00%,,6,0,0,2.5,0,1,0,0.5
E18000010,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,71.5,55,16.5,76.92%,,30,5,9.5,10.5,5,2,4,5.5
E18000010,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25.5,23,2.5,90.20%,,13,1,2,7,1,1.5,0,0
E18000007,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,48,35.5,12.5,73.96%,,17.5,2,7.5,8.5,4.5,3,1.5,3.5
E18000009,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,36,30.5,5.5,84.72%,,18,4,3,5.5,0.5,3,0,2
E18000003,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28.5,24.5,4,85.96%,,16.5,1,2,5,1,1,0,2
E18000005,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28,25,3,89.29%,,5,5,5,10,0.5,2,0.5,0
E18000009,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28,23,5,82.14%,,11,3,6,3,1.5,2,0.5,1
E18000006,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,NON-ADMITTED,ALL CANCERS,17.5,15,2.5,85.71%,,8.5,1.5,3,2,1,1,0,0.5
E18000007,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,8.5,7.5,1,88.24%,,4,1.5,1.5,0.5,0.5,0,0.5,0
E18000003,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,56.5,47,9.5,83.19%,,13,7,10,17,1,1,1,6.5
E18000007,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,21,19,2,90.48%,,6.5,1,4.5,7,1,0,0,1
E18000006,RGQ,IPSWICH HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,41,33,8,80.49%,,15,6,6,6,5,1,0,2
E18000009,R1F,ISLE OF WIGHT NHS TRUST,NON-ADMITTED,ALL CANCERS,28,25,3,89.29%,,14,3,4,4,2,0,0,1
E18000006,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,13,8,5,61.54%,,3,1,1,3,3,1,1,0
E18000004,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27,25.5,1.5,94.44%,,12,3,2,8.5,0,0.5,0,1
E18000007,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,35,27.5,7.5,78.57%,,14,2,5,6.5,3,4,0,0.5
E18000007,RAX,KINGSTON HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,22,20.5,1.5,93.18%,,6,8,3,3.5,0,0,0,1.5
E18000002,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,55,44,11,80.00%,,18,2.5,11,12.5,4.5,3.5,1.5,1.5
E18000003,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,59,43.5,15.5,73.73%,,12.5,6,4,21,2,1.5,5,7
E18000007,RJ2,LEWISHAM HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,20.5,18.5,2,90.24%,,6.5,1,8,3,0.5,1,0,0.5
E18000002,RBQ,LIVERPOOL HEART AND CHEST NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,6.5,6.5,0,100.00%,,4,0.5,0.5,1.5,0,0,0,0
E18000002,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,1.5,1,0.5,66.67%,,1,0,0,0,0,0,0.5,0
N/A,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,23,20.5,2.5,89.13%,,10.5,2,2,6,2.5,0,0,0
E18000006,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30.5,26,4.5,85.25%,,9.5,7.5,5,4,0.5,1,2,1
E18000008,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,NON-ADMITTED,ALL CANCERS,37,30.5,6.5,82.43%,,10,4,8,8.5,1.5,0.5,0.5,4
E18000008,RPA,MEDWAY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,1.5,0.5,1,33.33%,,0,0,0,0.5,0.5,0,0,0.5
E18000002,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32.5,31.5,1,96.92%,,11,6,7,7.5,0,1,0,0
E18000006,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,18.5,15,3.5,81.08%,,4,3,5,3,1.5,0,0.5,1.5
E18000003,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,45.5,41.5,4,91.21%,,18,8,8,7.5,1.5,0,1.5,1
E18000009,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16,14.5,1.5,90.63%,,6,2,2,4.5,0,1.5,0,0
E18000006,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,34.5,24,10.5,69.57%,,9,1,7,7,4,6,0.5,0
E18000010,RVJ,NORTH BRISTOL NHS TRUST,NON-ADMITTED,ALL CANCERS,34,28.5,5.5,83.82%,,16.5,1,5,6,1,0.5,1,3
E18000002,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,27.5,16.5,11,60.00%,,6,2.5,3,5,4,1.5,2,3.5
E18000007,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,8.5,7.5,1,88.24%,,2,0,0,5.5,1,0,0,0
E18000001,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16.5,15.5,1,93.94%,,5,3,2.5,5,0,0,0,1
E18000004,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,34,27.5,6.5,80.88%,,15,3,1,8.5,2,1.5,0,3
E18000010,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,8.5,5,3.5,58.82%,,5,0,0,0,1.5,0.5,0.5,1
E18000003,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32,25,7,78.13%,,6,3,6,10,3,1,2,1
E18000001,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28,26,2,92.86%,,7,4,5,10,2,0,0,0
E18000004,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,41,39,2,95.12%,,21,7,5,6,1,0.5,0,0.5
E18000009,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,52,44,8,84.62%,,14,12,13,5,5,1,0,2
E18000002,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,57.5,48.5,9,84.35%,,22.5,5.5,7,13.5,2,2,2,3
E18000006,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,36,32,4,88.89%,,14,7,7,4,2,0,1.5,0.5
E18000010,RK9,PLYMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,51,45,6,88.24%,,23,4,8,10,2,1,0,3
E18000010,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12,8.5,3.5,70.83%,,0,1.5,3,4,1,1.5,0.5,0.5
E18000009,RHU,PORTSMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,56,47,9,83.93%,,19.5,5,12,10.5,4,1,2.5,1.5
E18000008,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,3,3,0,100.00%,,3,0,0,0,0,0,0,0
E18000009,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,50,42.5,7.5,85.00%,,20,6,6,10.5,1.5,2,0,4
E18000010,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,47,44,3,93.62%,,32,2,5,5,1,1,0,1
E18000010,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,46.5,32,14.5,68.82%,,12,1,5,14,6.5,3.5,2.5,2
E18000007,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,51.5,37,14.5,71.84%,,16,4,6,11,4.5,0.5,5,4.5
E18000002,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,26.5,24,2.5,90.57%,,11.5,3.5,3,6,0.5,1,0,1
E18000007,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,1.5,1,0.5,66.67%,,0,0,0.5,0.5,0.5,0,0,0
E18000008,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,31,25,6,80.65%,,11,2,4,8,0.5,2,1,2.5
E18000010,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,NON-ADMITTED,ALL CANCERS,59,57,2,96.61%,,34,2,12,9,1,1,0,0
E18000002,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,39,34.5,4.5,88.46%,,23.5,3.5,4.5,3,1,1.5,1,1
E18000010,RNZ,SALISBURY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,14.5,13,1.5,89.66%,,6,2,3,2,1,0,0,0.5
E18000005,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,23.5,19,4.5,80.85%,,7,1,6,5,1.5,1,0,2
E18000003,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,61.5,53.5,8,86.99%,,30.5,0.5,12,10.5,1,2.5,3,1.5
E18000004,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24,15.5,8.5,64.58%,,9,0,3,3.5,0,2.5,3,3
E18000005,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,53.5,51.5,2,96.26%,,23.5,8,11,9,0,1,0,1
E18000009,R1C,SOLENT NHS TRUST,NON-ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0.5,0,0,0
E18000010,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37,36,1,97.30%,,17,7,10,2,0,0,0,1
E18000001,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,56,44.5,11.5,79.46%,,16,4.5,11,13,3.5,2,3,3
E18000001,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,3,2.5,0.5,83.33%,,1,0,0,1.5,0,0,0,0.5
E18000005,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,21.5,20.5,1,95.35%,,6,2,5.5,7,0.5,0,0.5,0
E18000006,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,3.5,1.5,2,42.86%,,0,0.5,0,1,1,0,0,1
E18000002,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,23.5,21,2.5,89.36%,,17,0,0,4,1,0,0,1.5
E18000007,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,22,19.5,2.5,88.64%,,7,1,6,5.5,0,0,0.5,2
E18000002,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,33.5,31.5,2,94.03%,,15,2.5,7.5,6.5,1.5,0.5,0,0
E18000002,RWJ,STOCKPORT NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,22.5,20,2.5,88.89%,,9,2,6,3,2,0.5,0,0
E18000008,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,19,11,8,57.89%,,8,1,0,2,1,1,4,2
E18000002,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15.5,13.5,2,87.10%,,3,3,4,3.5,0,0.5,0.5,1
E18000010,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29,22,7,75.86%,,9,7,2,4,2,3,0,2
E18000002,RBV,THE CHRISTIE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,57.5,39.5,18,68.70%,,2.5,3,10.5,23.5,6.5,4.5,5,2
E18000002,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,44,30.5,13.5,69.32%,,5,2.5,6,17,4,4.5,1,4
