62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: June 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
E18000010,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53.5,40.5,13,75.70%,,8.5,5.5,13.5,13,2.5,3,5.5,2
E18000007,RAX,KINGSTON HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,15,12,3,80.00%,,5.5,2,0.5,4,0.5,1,0,1.5
E18000007,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12.5,10.5,2,84.00%,,3,3,3.5,1,0,0.5,1.5,0
E18000007,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,11,8,3,72.73%,,2,0,1,5,2,1,0,0
E18000007,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,4.5,4,0.5,88.89%,,0,2,1,1,0,0,0,0.5
E18000007,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62,50,12,80.65%,,12,6,11.5,20.5,2,0.5,3,6.5
E18000006,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,40.5,8.5,82.65%,,11,2,11,16.5,4,1,0.5,3
E18000003,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,44,5,89.80%,,4,8,12.5,19.5,2,1,1.5,0.5
E18000010,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,37,7.5,83.15%,,8,6.5,8,14.5,2,1,2,2.5
E18000010,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74.5,59.5,15,79.87%,,19.5,7,13,20,2.5,4.5,4,4
E18000010,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,28.5,3.5,89.06%,,11,5.5,6.5,5.5,2,1,0,0.5
E18000010,RA3,WESTON AREA HEALTH NHS TRUST,ADMITTED,ALL CANCERS,21.5,14,7.5,65.12%,,2,2.5,3,6.5,3.5,2,2,0
E18000008,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,39.5,5.5,87.78%,,4.5,2,8.5,24.5,1,2,2,0.5
N/A,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,50.5,39.5,11,78.22%,,10,9,5.5,15,2,5,1.5,2.5
E18000007,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,58,44.5,13.5,76.72%,,10,5,9,20.5,3.5,3,3.5,3.5
E18000009,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,14,12,2,85.71%,,2,4,2,4,2,0,0,0
N/A,NYT,ASSURA EAST RIDING LLP,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
N/A,NWV,GP CARE UK LIMITED,ADMITTED,ALL CANCERS,1,0.5,0.5,50.00%,,0,0.5,0,0,0,0,0,0.5
N/A,NV3,CIRCLE,ADMITTED,ALL CANCERS,45.5,41.5,4,91.21%,,24.5,5,5,7,0.5,1.5,0,2
E18000008,5P5,SURREY PCT,ADMITTED,ALL CANCERS,1,1,0,100.00%,,0,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,ALL CANCERS,7498,6069,1429,80.94%,,1533,844,1401,2291,402,396,242,389
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
ONS AREA ID (1),ODS CODE (2),ACCOUNTABLE PROVIDER,CARE SETTING (3),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
E18000008,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,54,43.5,10.5,80.56%,,19,7,6.5,11,1,2.5,3,4
E18000007,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,19.5,16,3.5,82.05%,,5,3,2.5,5.5,0,2.5,1,0
E18000002,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,6,6,0,100.00%,,6,0,0,0,0,0,0,0
E18000005,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,57,48,9,84.21%,,28,5,11,4,4,3,1,1
E18000002,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,41,37.5,3.5,91.46%,,21,4.5,3,9,1.5,0.5,1.5,0
E18000009,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,16.5,14.5,2,87.88%,,4.5,3,3,4,0,0.5,0,1.5
E18000001,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16,11.5,4.5,71.88%,,2,1,6,2.5,0.5,1.5,0,2.5
E18000002,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,51.5,36,15.5,69.90%,,15,6,4,11,8,2,3.5,2
E18000002,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30.5,23,7.5,75.41%,,6,4,6.5,6.5,0.5,5.5,0,1.5
E18000005,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,19,16,3,84.21%,,6,2.5,3,4.5,0.5,1,1.5,0
E18000008,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,45.5,33.5,12,73.63%,,27,2,0.5,4,5.5,2.5,2,2
E18000003,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,29.5,28,1.5,94.92%,,12,5,5,6,0.5,0,1,0
E18000008,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,54.5,43,11.5,78.90%,,21.5,3,7,11.5,4,3.5,1,3
E18000004,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,46,42,4,91.30%,,25,7,5,5,2,1,1,0
E18000003,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30.5,26.5,4,86.89%,,8,4,4,10.5,1,0,1.5,1.5
E18000002,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,9.5,6,3.5,63.16%,,2,0.5,1.5,2,2,1,0,0.5
E18000005,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,49.5,40,9.5,80.81%,,17,4,5,14,2,2.5,4,1
E18000002,RWJ,STOCKPORT NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,21,16,5,76.19%,,5,3,2,6,2.5,1,0.5,1
E18000006,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,58.5,48.5,10,82.91%,,17,8,10.5,13,2,2,4,2
E18000006,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,25.5,21.5,4,84.31%,,9,3,5.5,4,1.5,1,1.5,0
E18000008,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,NON-ADMITTED,ALL CANCERS,49.5,45,4.5,90.91%,,13.5,7.5,10,14,1.5,1,0,2
E18000004,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NON-ADMITTED,ALL CANCERS,90,78,12,86.67%,,17,11,34,16,4,3,3,2
E18000004,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,72,52,20,72.22%,,30,6,8,8,5,4,4,7
E18000003,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,40,27.5,12.5,68.75%,,8,3.5,6,10,2,4,0,6.5
E18000002,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,51,37.5,13.5,73.53%,,14.5,5.5,8,9.5,4.5,4.5,1,3.5
E18000002,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,19.5,16,3.5,82.05%,,6,1.5,4,4.5,0,2,0.5,1
E18000002,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,23.5,18,5.5,76.60%,,10,3.5,2.5,2,1,3,1,0.5
E18000001,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,21,19,2,90.48%,,4,6.5,3.5,5,0.5,0,1,0.5
E18000008,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,44,35.5,8.5,80.68%,,16.5,2,8,9,4,2.5,0,2
E18000007,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,28,21,7,75.00%,,10,2,2,7,1.5,2,1.5,2
E18000010,RVJ,NORTH BRISTOL NHS TRUST,NON-ADMITTED,ALL CANCERS,40,35.5,4.5,88.75%,,16.5,6.5,2.5,10,2.5,0.5,0.5,1
E18000002,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,33.5,31.5,2,94.03%,,19,3.5,3,6,1.5,0,0.5,0
E18000001,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37.5,28,9.5,74.67%,,6,2.5,8.5,11,0.5,4,2,3
E18000008,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,25,18,7,72.00%,,5,0.5,5,7.5,1.5,1,2.5,2
E18000008,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27,24.5,2.5,90.74%,,18,0,5,1.5,1,0.5,0,1
E18000009,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,47.5,38.5,9,81.05%,,10.5,5,13,10,0,3.5,3,2.5
E18000004,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29,18,11,62.07%,,9,2,4,3,4,1,3,3
E18000001,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17.5,14.5,3,82.86%,,11,0,1,2.5,1,0,1,1
E18000010,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,62.5,53.5,9,85.60%,,21,5,15,12.5,0,1,3,5
E18000001,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,70,62,8,88.57%,,44.5,1,2.5,14,2.5,4,0,1.5
E18000007,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12,10.5,1.5,87.50%,,6,2.5,0,2,0,0.5,1,0
E18000005,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,40.5,24.5,16,60.49%,,12.5,3.5,3.5,5,2.5,3.5,2.5,7.5
E18000005,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0.5,0,0
E18000002,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",NON-ADMITTED,ALL CANCERS,15.5,13.5,2,87.10%,,7,2,2,2.5,0.5,0,0,1.5
E18000003,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,52,42,10,80.77%,,9,5.5,11.5,16,4.5,1,2,2.5
E18000001,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,19.5,16.5,3,84.62%,,9.5,1,2,4,0,1,1,1
E18000005,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32.5,26,6.5,80.00%,,6,4,5.5,10.5,0,6,0,0.5
E18000007,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,11.5,10,1.5,86.96%,,4,0.5,2,3.5,0.5,0.5,0.5,0
E18000006,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,30,25,5,83.33%,,8,7,5,5,1,2,1,1
E18000006,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,NON-ADMITTED,ALL CANCERS,14.5,11.5,3,79.31%,,5,1,3,2.5,1,0.5,1,0.5
E18000007,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,8,7,1,87.50%,,3,1,0,3,0,0,0,1
E18000006,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,26,23.5,2.5,90.38%,,8,5,5,5.5,1.5,0.5,0,0.5
E18000002,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,20.5,18.5,2,90.24%,,12,1,3,2.5,0.5,1.5,0,0
E18000007,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15,8,7,53.33%,,3,1,0,4,1.5,1.5,2,2
E18000008,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,6.5,6.5,0,100.00%,,5.5,1,0,0,0,0,0,0
E18000008,RPA,MEDWAY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,43.5,39,4.5,89.66%,,13,6.5,14,5.5,2.5,0,1,1
E18000003,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,42.5,39,3.5,91.76%,,25,4.5,4.5,5,1,2.5,0,0
E18000010,RNZ,SALISBURY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,21,19,2,90.48%,,11,4,1,3,0,1,0,1
E18000004,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,25.5,18,7.5,70.59%,,5,2,6,5,1.5,3.5,2,0.5
E18000004,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28.5,23,5.5,80.70%,,14,3,1,5,0.5,3.5,1,0.5
E18000002,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,27.5,18,9.5,65.45%,,11,2,1,4,2,3.5,2,2
E18000005,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32,25.5,6.5,79.69%,,10.5,3,4,8,1,1,1,3.5
E18000008,RN7,DARTFORD AND GRAVESHAM NHS TRUST,NON-ADMITTED,ALL CANCERS,14,14,0,100.00%,,6,2,0,6,0,0,0,0
E18000009,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,35,30,5,85.71%,,18.5,1,6.5,4,0.5,1.5,1,2
E18000010,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,20.5,18,2.5,87.80%,,11,1,0,6,0,1,0.5,1
E18000002,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16,14.5,1.5,90.63%,,6,3.5,3,2,1,0.5,0,0
E18000002,RMC,BOLTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18.5,16.5,2,89.19%,,4.5,6,1,5,0,1,0,1
E18000002,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23.5,19,4.5,80.85%,,12,1,2.5,3.5,1.5,0.5,1,1.5
E18000002,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,14,12.5,1.5,89.29%,,3,3.5,2.5,3.5,0.5,1,0,0
E18000006,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,43,31.5,11.5,73.26%,,8,4.5,8,11,6,3.5,1,1
E18000005,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,13.5,12,1.5,88.89%,,6,2,1,3,1,0,0,0.5
E18000005,RLQ,WYE VALLEY NHS TRUST,NON-ADMITTED,ALL CANCERS,14.5,9.5,5,65.52%,,5,1,1,2.5,2,1,0,2
E18000001,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,43,39,4,90.70%,,15,5,6.5,12.5,1,1.5,1,0.5
E18000005,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,NON-ADMITTED,ALL CANCERS,30.5,18.5,12,60.66%,,9,2,5,2.5,4.5,3,2,2.5
E18000005,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
E18000007,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,5.5,5.5,0,100.00%,,4,1.5,0,0,0,0,0,0
E18000005,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,42,35.5,6.5,84.52%,,11,2,8,14.5,1,1,2,2.5
E18000010,RK9,PLYMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,53.5,42.5,11,79.44%,,20,5,7,10.5,4,1,2,4
E18000004,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,20,16.5,3.5,82.50%,,5,3,5,3.5,1,2,0,0.5
E18000007,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32.5,24,8.5,73.85%,,11,2.5,6,4.5,3.5,2.5,1,1.5
E18000002,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16,14.5,1.5,90.63%,,6.5,0.5,3,4.5,0,0,0.5,1
E18000002,RJN,EAST CHESHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,24.5,21.5,3,87.76%,,11,5,2,3.5,1.5,1.5,0,0
E18000003,RJL,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30,26.5,3.5,88.33%,,6,4,3,13.5,0,1,1,1.5
E18000005,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17,17,0,100.00%,,13,1,3,0,0,0,0,0
E18000005,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,45,39.5,5.5,87.78%,,20,3,5,11.5,0,1,3,1.5
E18000005,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,21,18.5,2.5,88.10%,,8,5,2,3.5,1,0.5,0,1
E18000007,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,15.5,14,1.5,90.32%,,5,3,4,2,0,1,0,0.5
E18000007,RJ6,CROYDON HEALTH SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,35.5,28.5,7,80.28%,,12,4.5,7,5,3.5,0,2,1.5
E18000007,RJ2,LEWISHAM HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,31.5,25.5,6,80.95%,,7,1,7,10.5,3,2,1,0
E18000007,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,55,45,10,81.82%,,14,6.5,8,16.5,2.5,2,3.5,2
E18000009,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,52,40.5,11.5,77.88%,,23,4,7,6.5,3,3.5,2,3
E18000009,RHU,PORTSMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,69,60.5,8.5,87.68%,,24,6,9,21.5,2.5,2,3,1
E18000003,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,46.5,37.5,9,80.65%,,11,6.5,10,10,3,1.5,3.5,1
E18000009,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,67.5,60,7.5,88.89%,,22.5,12,10.5,15,4,2.5,0,1
E18000010,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,58,35.5,22.5,61.21%,,12,6,4,13.5,7,7,3,5.5
E18000006,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,52,42.5,9.5,81.73%,,20,8,9.5,5,2,3,2,2.5
E18000006,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16.5,16,0.5,96.97%,,7,2,4.5,2.5,0,0.5,0,0
E18000006,RGQ,IPSWICH HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,46,38,8,82.61%,,16,6,8,8,2,3,2,1
E18000006,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,21.5,19.5,2,90.70%,,7,2.5,4,6,1,0,0,1
E18000006,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27.5,24,3.5,87.27%,,5,6,8,5,1,0,0,2.5
E18000007,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,23.5,23.5,0,100.00%,,9,4,5,5.5,0,0,0,0
E18000004,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,20.5,19,1.5,92.68%,,6,3,5,5,0.5,0,0,1
E18000003,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,11.5,9.5,2,82.61%,,4,1,2,2.5,1,0,1,0
E18000003,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15,11,4,73.33%,,5,0,4.5,1.5,1.5,2,0.5,0
E18000007,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NON-ADMITTED,ALL CANCERS,46,37,9,80.43%,,8,4,5,20,4,4,1,0
E18000002,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,1.5,1,0.5,66.67%,,0,0,0,1,0.5,0,0,0
E18000002,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,42.5,26.5,16,62.35%,,4,3,7,12.5,5.5,5,2,3.5
E18000002,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23,19,4,82.61%,,9.5,3,1.5,5,1.5,0.5,1.5,0.5
E18000010,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,62.5,58.5,4,93.60%,,45,2,1,10.5,1,1,1,1
E18000001,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,7,5.5,1.5,78.57%,,4,0,1,0.5,0,1.5,0,0
E18000010,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,35.5,32,3.5,90.14%,,11,6,11,4,2,1.5,0,0
E18000008,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,1,0.5,0.5,50.00%,,0,0,0.5,0,0,0,0,0.5
E18000006,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,33.5,25.5,8,76.12%,,5,1,11,8.5,1,2.5,2,2.5
E18000006,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,58.5,50.5,8,86.32%,,28,10,2.5,10,4.5,1.5,0.5,1.5
E18000009,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,21,18,3,85.71%,,5,1,9,3,2,1,0,0
E18000009,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15.5,14.5,1,93.55%,,6,4.5,1,3,0,0.5,0.5,0
E18000010,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,19.5,14.5,5,74.36%,,4.5,1,5,4,2,2,1,0
