31-DAY WAIT FOR SECOND OR SUBSEQUENT TREATMENT: RADIOTHERAPY TREATMENTS,,,,,,,,,,,,,,
PERIOD: August 2015,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT,,,,
E18000006,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,81,81,0,100.00%,,81,0,0,0,0
E18000010,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,57,53,4,92.98%,,53,1,1,2,0
E18000002,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,294,294,0,100.00%,,294,0,0,0,0
E18000002,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,369,356,13,96.48%,,356,5,6,1,1
E18000001,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,311,306,5,98.39%,,306,3,2,0,0
E18000007,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,236,227,9,96.19%,,227,3,3,2,1
E18000005,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ALL CARE,RADIOTHERAPY,89,89,0,100.00%,,89,0,0,0,0
E18000004,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,87,81,6,93.10%,,81,5,1,0,0
E18000007,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,80,80,0,100.00%,,80,0,0,0,0
E18000009,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,156,156,0,100.00%,,156,0,0,0,0
E18000005,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,278,269,9,96.76%,,269,5,1,2,1
E18000010,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,191,188,3,98.43%,,188,1,1,1,0
E18000005,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ALL CARE,RADIOTHERAPY,144,140,4,97.22%,,140,2,1,0,1
E18000004,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ALL CARE,RADIOTHERAPY,105,104,1,99.05%,,104,0,1,0,0
E18000002,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
E18000005,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ALL CARE,RADIOTHERAPY,110,106,4,96.36%,,106,4,0,0,0
E18000008,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
E18000005,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,21,21,0,100.00%,,21,0,0,0,0
E18000003,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ALL CARE,RADIOTHERAPY,7195,7022,173,97.60%,,7022,90,48,24,11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SOURCE: CANCER WAITING TIMES DATABASE - CWT-db,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,
(1) - ONS AREA ID is the unique code used to identify the Area Team by the Office for National Statistics. Where this is N/A it has not been possible to attribute a provider to an identified host organisation,,,,,,,,,,,,,,
(2) - ODS CODE is the unique code to identify the Provider (ODS = Organisational Data Service),,,,,,,,,,,,,,
(3) - CARE SETTING - relates either to patients who were ADMITTED to hospital for treatment - this includes ordinary admissions and day cases; patients who were NON-ADMITTED,,,,,,,,,,,,,,
"- which refers to outpatient activity, and treatment in other care settings; and ALL CARE which is the sum of ADMITTED and NON-ADMITTED patients",,,,,,,,,,,,,,
(4) ALL CANCERS refers to any case of diagnosed cancer regardless of cancer type,,,,,,,,,,,,,,
