31-DAY WAIT FOR SECOND OR SUBSEQUENT TREATMENT: RADIOTHERAPY TREATMENTS,,,,,,,,,,,,,,
PERIOD: September 2015,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT,,,,
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,57,56,1,98.25%,,56,1,0,0,0
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,291,290,1,99.66%,,290,1,0,0,0
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,368,353,15,95.92%,,353,5,4,5,1
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,306,301,5,98.37%,,301,3,1,0,1
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,291,278,13,95.53%,,278,6,3,2,2
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ALL CARE,RADIOTHERAPY,83,83,0,100.00%,,83,0,0,0,0
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,103,98,5,95.15%,,98,2,3,0,0
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,131,126,5,96.18%,,126,3,0,2,0
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,199,197,2,98.99%,,197,1,1,0,0
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,309,296,13,95.79%,,296,9,3,1,0
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,224,215,9,95.98%,,215,4,4,0,1
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ALL CARE,RADIOTHERAPY,177,172,5,97.18%,,172,3,2,0,0
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ALL CARE,RADIOTHERAPY,116,107,9,92.24%,,107,5,2,2,0
,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ALL CARE,RADIOTHERAPY,137,136,1,99.27%,,136,1,0,0,0
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ALL CARE,RADIOTHERAPY,17,17,0,100.00%,,17,0,0,0,0
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ALL CARE,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ALL CARE,RADIOTHERAPY,8379,8139,240,97.14%,,8139,121,70,34,15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SOURCE: CANCER WAITING TIMES DATABASE - CWT-db,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,
(1) - ODS CODE is the unique code to identify the Provider (ODS = Organisational Data Service),,,,,,,,,,,,,,
(2) - CARE SETTING - relates either to patients who were ADMITTED to hospital for treatment - this includes ordinary admissions and day cases; patients who were NON-ADMITTED,,,,,,,,,,,,,,
"- which refers to outpatient activity, and treatment in other care settings; and ALL CARE which is the sum of ADMITTED and NON-ADMITTED patients",,,,,,,,,,,,,,
(3) ALL CANCERS refers to any case of diagnosed cancer regardless of cancer type,,,,,,,,,,,,,,
