62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: September 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RA3,WESTON AREA HEALTH NHS TRUST,ADMITTED,ALL CANCERS,27,20.5,6.5,75.93%,,3.5,2,7.5,7.5,1.5,2.5,1.5,1
,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,50,6.5,88.50%,,22.5,2.5,8.5,16.5,0.5,1.5,1.5,3
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,88.5,64.5,24,72.88%,,12,7,16.5,29,12,5.5,1,5.5
,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,38,34,4,89.47%,,9.5,6,11,7.5,1,1.5,1.5,0
,RLQ,WYE VALLEY NHS TRUST,ADMITTED,ALL CANCERS,38.5,29.5,9,76.62%,,12,2,6.5,9,5,1,1.5,1.5
,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,35.5,5.5,86.59%,,8,11,4.5,12,1.5,1,1,2
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67.5,56,11.5,82.96%,,9.5,6.5,19.5,20.5,3.5,3,1.5,3.5
,NV3,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,43,37.5,5.5,87.21%,,9,8.5,11.5,8.5,2,1.5,1.5,0.5
,NVM,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,1.5,0,0,0,0,0,0,0
,NWV,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0,0,0.5
,RGC,DISCONTINUED ORGANISATION,ADMITTED,ALL CANCERS,3,2,1,66.67%,,0,0.5,0,1.5,0.5,0,0,0.5
,,,,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,ALL CANCERS,7396,5966,1430,80.67%,,1450,831,1332,2353,460,384,215,371
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER,CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18,15,3,83.33%,,2.5,4.5,1,7,1,0,0,2
,RCF,AIREDALE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12,10.5,1.5,87.50%,,2,1,3,4.5,1,0,0.5,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30,27,3,90.00%,,15,2,5,5,1,1,1,0
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NON-ADMITTED,ALL CANCERS,38,23,15,60.53%,,7,3,5,8,4,5,2,4
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,9.5,7.5,2,78.95%,,4,2,1,0.5,1.5,0,0,0.5
,R1H,BARTS HEALTH NHS TRUST,NON-ADMITTED,ALL CANCERS,50,41,9,82.00%,,21,1,7,12,2,4,2,1
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,41.5,34.5,7,83.13%,,21,3,2,8.5,1.5,2,0.5,3
,RC1,BEDFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,18.5,17.5,1,94.59%,,9,0,1,7.5,1,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24.5,23.5,1,95.92%,,7,1,6,9.5,0,1,0,0
,RMC,BOLTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24.5,22,2.5,89.80%,,14,3,1,4,0.5,1,0,1
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24.5,22.5,2,91.84%,,13,1.5,4,4,1,0,0,1
,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,7,7,0,100.00%,,7,0,0,0,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,45.5,40,5.5,87.91%,,22.5,6,4.5,7,1,0,0.5,4
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,19,17,2,89.47%,,5,2,6,4,1,0.5,0.5,0
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15.5,15.5,0,100.00%,,7,0,5,3.5,0,0,0,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29.5,28.5,1,96.61%,,12,4.5,5,7,1,0,0,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,70,62.5,7.5,89.29%,,22,16,16,8.5,3,1.5,0,3
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17,14,3,82.35%,,5,0.5,1,7.5,0.5,0.5,0,2
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15.5,14,1.5,90.32%,,7,3,0,4,0,0.5,1,0
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,31.5,29,2.5,92.06%,,7.5,6,7.5,8,2,0.5,0,0
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,33.5,27,6.5,80.60%,,8,1,9,9,2.5,0.5,1,2.5
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,34,26,8,76.47%,,10,2,5.5,8.5,1.5,3,0,3.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24,21.5,2.5,89.58%,,8.5,5.5,3,4.5,1.5,0,0.5,0.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,35,29,6,82.86%,,13,2,6,8,0.5,3.5,1.5,0.5
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,35.5,29,6.5,81.69%,,17,2,4,6,1,2,1,2.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,NON-ADMITTED,ALL CANCERS,7.5,7,0.5,93.33%,,1,1,1,4,0.5,0,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28,18.5,9.5,66.07%,,8,3,2,5.5,6.5,1,0,2
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,48,40.5,7.5,84.38%,,30.5,4.5,3,2.5,2,1.5,2.5,1.5
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,21.5,21,0.5,97.67%,,10,1,6,4,0,0,0,0.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,62.5,48,14.5,76.80%,,23,10,3.5,11.5,1.5,3,2.5,7.5
,RJN,EAST CHESHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,28,27.5,0.5,98.21%,,10,9,1.5,7,0,0,0,0.5
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,65,49.5,15.5,76.15%,,22,2,9,16.5,5.5,2,1.5,6.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,30,28,2,93.33%,,11,5,4,8,0,1,0,1
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,38.5,29.5,9,76.62%,,13.5,3,5,8,3,3,0,3
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,36.5,31,5.5,84.93%,,12,4,9.5,5.5,2.5,0.5,1,1.5
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,8.5,8,0.5,94.12%,,5,2,0,1,0,0,0.5,0
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12.5,9,3.5,72.00%,,4,2,0,3,1,1,1,0.5
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,10,10,0,100.00%,,3,1,1.5,4.5,0,0,0,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,54,39.5,14.5,73.15%,,18,3,6,12.5,5.5,3.5,3,2.5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25.5,21,4.5,82.35%,,6,2,4.5,8.5,1.5,1,1,1
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,41,31.5,9.5,76.83%,,14,3.5,5,9,1,2.5,0.5,5.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,52.5,40,12.5,76.19%,,25,2,10,3,2,4.5,1.5,4.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18.5,16.5,2,89.19%,,11,1,1,3.5,1,0,0.5,0.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,38,30,8,78.95%,,9,5.5,5,10.5,1,1.5,3,2.5
,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28,22,6,78.57%,,7,2,4.5,8.5,3.5,1,0.5,1
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,NON-ADMITTED,ALL CANCERS,14.5,14,0.5,96.55%,,6,1,4.5,2.5,0,0.5,0,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17.5,17.5,0,100.00%,,6,4,2,5.5,0,0,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,44,34.5,9.5,78.41%,,9,5.5,8,12,3.5,1,0,5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,27.5,27,0.5,98.18%,,11,2,5.5,8.5,0,0.5,0,0
,RGQ,IPSWICH HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,39.5,37.5,2,94.94%,,18,9,6,4.5,0,0,0,2
,R1F,ISLE OF WIGHT NHS TRUST,NON-ADMITTED,ALL CANCERS,24.5,22,2.5,89.80%,,10,2,5.5,4.5,1,1,0.5,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,26.5,20.5,6,77.36%,,6,2,6,6.5,1,3.5,1,0.5
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25.5,19.5,6,76.47%,,6,0.5,7,6,4,1,0.5,0.5
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27,22.5,4.5,83.33%,,7,6.5,6,3,2,1,0,1.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23.5,21,2.5,89.36%,,9,2,7,3,0,1,0,1.5
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37.5,32.5,5,86.67%,,13,5,4,10.5,0,2,0.5,2.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,71,52.5,18.5,73.94%,,21.5,7,11,13,3,4,3.5,8
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,NON-ADMITTED,ALL CANCERS,16.5,15.5,1,93.94%,,2,3,3,7.5,0,0.5,0.5,0
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,2.5,2.5,0,100.00%,,0.5,0.5,0.5,1,0,0,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0.5,0,0,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,18.5,15.5,3,83.78%,,10,1,2.5,2,0,1,2,0
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,35,35,0,100.00%,,15,3.5,4,12.5,0,0,0,0
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,NON-ADMITTED,ALL CANCERS,32,23,9,71.88%,,14,2,3,4,2,0,1.5,5.5
,RPA,MEDWAY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,50.5,40,10.5,79.21%,,10,8,17,5,4,2,1,3.5
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,41,37,4,90.24%,,16.5,6,5,9.5,1.5,1,1,0.5
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,45.5,32.5,13,71.43%,,7,5,13.5,7,3.5,4,3,2.5
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,31,26,5,83.87%,,13,6,2,5,2.5,0.5,0,2
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,26,26,0,100.00%,,4,5,7,10,0,0,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,46,38.5,7.5,83.70%,,17,1,7,13.5,5,2,0,0.5
,RVJ,NORTH BRISTOL NHS TRUST,NON-ADMITTED,ALL CANCERS,39,32.5,6.5,83.33%,,13,4.5,3.5,11.5,0,1.5,0.5,4.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,27.5,18.5,9,67.27%,,11,3,3,1.5,2,2,1,4
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,20.5,17,3.5,82.93%,,2,1.5,5.5,8,2,0,1,0.5
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12.5,11,1.5,88.00%,,7,1,1,2,0,0.5,0,1
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,37,27.5,9.5,74.32%,,13,3.5,5,6,3,3,1,2.5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,11.5,7,4.5,60.87%,,2.5,1.5,0,3,1.5,0,0.5,2.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,33.5,27,6.5,80.60%,,5,1,6,15,1,1,3,1.5
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32.5,28.5,4,87.69%,,13,2,4,9.5,1,2,1,0
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,44,35.5,8.5,80.68%,,12.5,12,4,7,4.5,1.5,0,2.5
,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,54,44,10,81.48%,,8,2,11.5,22.5,1.5,4,2.5,2
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,62,52,10,83.87%,,19,7.5,12,13.5,5,2,2,1
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,22,20.5,1.5,93.18%,,11,1,6,2.5,0,0,0,1.5
,RK9,PLYMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,61,57,4,93.44%,,15,13,15,14,2,1,1,0
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16,15,1,93.75%,,4,1,1.5,8.5,0,0,0,1
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,64.5,57.5,7,89.15%,,21.5,4,13,19,1,1,1,4
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,40.5,29,11.5,71.60%,,12,5,3.5,8.5,4.5,2,0,5
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,45,41,4,91.11%,,32,2,1,6,2,1,0,1
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,57.5,45.5,12,79.13%,,13.5,5.5,9.5,17,3.5,2.5,1.5,4.5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,35.5,21.5,14,60.56%,,6,1,5.5,9,4.5,2,3,4.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,15.5,12.5,3,80.65%,,5,4,1,2.5,0.5,1,1,0.5
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,0,0.5,1,0,0,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,9.5,5,4.5,52.63%,,2,0,0,3,0,2,1.5,1
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,51,42.5,8.5,83.33%,,22,5.5,5,10,5,1.5,1,1
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,39,37.5,1.5,96.15%,,25.5,7,2.5,2.5,0,0,1.5,0
,RNZ,SALISBURY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12,10,2,83.33%,,4,1.5,1,3.5,1,0.5,0.5,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,22,20,2,90.91%,,5,0,5,10,0,0,1,1
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,56,44.5,11.5,79.46%,,21,5.5,6.5,11.5,5.5,1,1,4
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,22,19.5,2.5,88.64%,,10.5,1,6,2,2,0,0,0.5
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,43,40.5,2.5,94.19%,,24,9,3,4.5,1,1,0,0.5
,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,40,36.5,3.5,91.25%,,22,4,8.5,2,1.5,0,1,1
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,44.5,36,8.5,80.90%,,8,6,10,12,0,3,3,2.5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,3.5,2.5,1,71.43%,,2,0,0,0.5,0.5,0.5,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24.5,21,3.5,85.71%,,13,3,4,1,0.5,2,1,0
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25.5,20.5,5,80.39%,,6,4,5,5.5,2.5,0,1.5,1
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,23.5,22,1.5,93.62%,,12,2,3.5,4.5,1,0.5,0,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,19,16.5,2.5,86.84%,,7,1,2,6.5,2,0,0.5,0
,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,22.5,20.5,2,91.11%,,10,4.5,2,4,1,0.5,0,0.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23.5,19.5,4,82.98%,,5.5,3,2,9,3,1,0,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,27,20,7,74.07%,,7,1,3,9,1,5,1,0
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30.5,28,2.5,91.80%,,15.5,1,5,6.5,1,1,0.5,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28.5,24,4.5,84.21%,,13,2,3,6,2,0,1,1.5
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,69,46,23,66.67%,,4,4,9,29,10.5,6,4.5,2
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,44.5,30,14.5,67.42%,,4,4.5,6.5,15,5.5,2.5,3,3.5
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,20,17,3,85.00%,,4,2,4,7,0.5,0,0.5,2
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,14,14,0,100.00%,,9,3,0,2,0,0,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,63.5,52.5,11,82.68%,,38,1,2,11.5,2.5,2,3.5,3
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,28,24.5,3.5,87.50%,,11,3.5,5.5,4.5,1.5,2,0,0
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",NON-ADMITTED,ALL CANCERS,25,18,7,72.00%,,6,4,2.5,5.5,2,3,0,2
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,8,6.5,1.5,81.25%,,3,2,0,1.5,0,0,0.5,1
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,46,40,6,86.96%,,14,6,9.5,10.5,1,1,1,3
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,17,11,6,64.71%,,4,2,1,4,0.5,2,2,1.5
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,1,1,0,100.00%,,0,0,0,1,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,NON-ADMITTED,ALL CANCERS,33,25,8,75.76%,,10,3.5,3,8.5,4.5,2,0.5,1
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,2,2,0,100.00%,,0,1,1,0,0,0,0,0
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,78.5,54,24.5,68.79%,,25,7,10,12,6,10,6.5,2
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,10.5,8,2.5,76.19%,,1,1,2.5,3.5,1,0.5,0,1
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23,18.5,4.5,80.43%,,8.5,1,4,5,3.5,0,1,0
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,78,69.5,8.5,89.10%,,36,5,12.5,16,3,1,1.5,3
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,36.5,27,9.5,73.97%,,7,3.5,6,10.5,0,2.5,2,5
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29.5,23.5,6,79.66%,,6,1.5,4,12,0,1.5,1.5,3
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,33.5,29,4.5,86.57%,,6,4,7.5,11.5,2,2.5,0,0
,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,NON-ADMITTED,ALL CANCERS,87.5,77,10.5,88.00%,,22,13,24,18,1,7,2.5,0
,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30.5,28,2.5,91.80%,,18,3,4,3,1,0.5,0.5,0.5
