62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42583,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,36,31,5,86.11%,,7.5,3,8,12.5,0.5,0.5,3,1
,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,29.5,7.5,79.73%,,6,1,7,15.5,4.5,0,2,1
,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81.5,67,14.5,82.21%,,22,15.5,10.5,19,6,1.5,3,4
,RA3,WESTON AREA HEALTH NHS TRUST,ADMITTED,ALL CANCERS,20.5,16,4.5,78.05%,,5,3,4.5,3.5,0,0.5,2.5,1.5
,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48.5,45,3.5,92.78%,,19,4.5,13,8.5,1.5,1,0.5,0.5
,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,74.5,47,27.5,63.09%,,8.5,3,13,22.5,8.5,9,2,8
,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,31,29.5,1.5,95.16%,,12,6.5,3.5,7.5,1,0.5,0,0
,RLQ,WYE VALLEY NHS TRUST,ADMITTED,ALL CANCERS,40.5,36.5,4,90.12%,,10,7,6.5,13,2.5,0,0.5,1
,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3,1.5,1.5,50.00%,,0,0,0.5,1,0.5,0.5,0,0.5
,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,77.5,70.5,7,90.97%,,18,12,18,22.5,2,1.5,1,2.5
,AQK,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,2.5,1.5,1,60.00%,,1,0,0,0.5,0,0,1,0
,NQT,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,0,0.5,1,0,0,0,0
,NV3,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,45,42,3,93.33%,,10,11,11,10,0.5,1,1.5,0
,NVM,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,2.5,2.5,0,100.00%,,0,1,0.5,1,0,0,0,0
,NWV,INDEPENDENT ORGANISATION,ADMITTED,ALL CANCERS,2,2,0,100.00%,,1,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,
,,ALL ENGLISH PROVIDERS,ADMITTED,ALL CANCERS,7474,6125,1349,81.95%,,1647,863,1308,2307,402,363,239,345
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART B:NON ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,22.5,19.5,3,86.67%,,6.5,1,4.5,7.5,2,0,0.5,0.5
,RCF,AIREDALE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18.5,18,0.5,97.30%,,7,3,4,4,0,0.5,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32,30,2,93.75%,,19,1,5,5,1,0,0,1
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NON-ADMITTED,ALL CANCERS,36,26,10,72.22%,,7,2,4,13,1,1,2,6
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12.5,10,2.5,80.00%,,3,2.5,3,1.5,0.5,0.5,1,0.5
,R1H,BARTS HEALTH NHS TRUST,NON-ADMITTED,ALL CANCERS,50,43.5,6.5,87.00%,,21,5,9,8.5,0,0,4.5,2
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,43,36.5,6.5,84.88%,,23,6,4,3.5,0,3.5,2,1
,RC1,BEDFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,27.5,21,6.5,76.36%,,5,3,3.5,9.5,0.5,3,0,3
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28,26.5,1.5,94.64%,,8,6,4,8.5,1,0,0,0.5
,RMC,BOLTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37.5,35,2.5,93.33%,,21.5,2.5,5.5,5.5,1,1,0.5,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24,23.5,0.5,97.92%,,19,2,0,2.5,0.5,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,57.5,48.5,9,84.35%,,36,3,3,6.5,2.5,4,1,1.5
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,15.5,13.5,2,87.10%,,3,3,1,6.5,0.5,0.5,1,0
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,13,11,2,84.62%,,6,0,2,3,0,1.5,0,0.5
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27.5,24.5,3,89.09%,,7.5,6,2.5,8.5,1.5,1,0.5,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,68,61,7,89.71%,,25,11,15.5,9.5,4.5,0,1,1.5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16.5,13.5,3,81.82%,,7.5,1,2,3,1,1,0,1
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15.5,13.5,2,87.10%,,8,1,3.5,1,1,0,0,1
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,26,22,4,84.62%,,14,2.5,1.5,4,1.5,0,1,1.5
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,35,33.5,1.5,95.71%,,9,5,9,10.5,0.5,0,1,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37.5,25.5,12,68.00%,,8.5,3,9,5,4.5,6,1,0.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15.5,12.5,3,80.65%,,7,1.5,0,4,0.5,0.5,1.5,0.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18.5,17.5,1,94.59%,,9,1,4.5,3,1,0,0,0
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,16.5,15.5,1,93.94%,,5.5,1.5,4.5,4,0.5,0.5,0,0
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,NON-ADMITTED,ALL CANCERS,10,10,0,100.00%,,3,0,2,5,0,0,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30,23,7,76.67%,,9,3,4,7,2,2.5,2,0.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,26.5,22.5,4,84.91%,,13,3,2.5,4,1.5,1,1.5,0
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24.5,21.5,3,87.76%,,15,1,2,3.5,1,0.5,0,1.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,85,57,28,67.06%,,18,5,11,23,10,3,5.5,9.5
,RJN,EAST CHESHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,17,14.5,2.5,85.29%,,6,4,2.5,2,0.5,1.5,0,0.5
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,55,44.5,10.5,80.91%,,13,3.5,10,18,3,2,2,3.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,32,29.5,2.5,92.19%,,21,1,3,4.5,0,1.5,0,1
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,62.5,47,15.5,75.20%,,21,5,8.5,12.5,0,6,4,5.5
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,30,28.5,1.5,95.00%,,10.5,3,6,9,0,1,0,0.5
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,45.5,41.5,4,91.21%,,18,7,6.5,10,1,2,1,0
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,25,23.5,1.5,94.00%,,18,0,1,4.5,0,0.5,0,1
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,6,4,2,66.67%,,2,0,0,2,1,1,0,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,69.5,52,17.5,74.82%,,30,4,5,13,1.5,3.5,2,10.5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,9.5,9.5,0,100.00%,,5,1,2,1.5,0,0,0,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,38.5,29.5,9,76.62%,,14,2,3.5,10,2,3,1.5,2.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,69,60,9,86.96%,,35,2,11,12,3.5,0,0.5,5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,30,28,2,93.33%,,22,1,3,2,0.5,1,0,0.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,39.5,35.5,4,89.87%,,16.5,5,5,9,1,2,0,1
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,NON-ADMITTED,ALL CANCERS,19,19,0,100.00%,,11,2.5,2,3.5,0,0,0,0
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,11,8.5,2.5,77.27%,,3,3,1,1.5,0,0,1.5,1
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,64.5,52,12.5,80.62%,,16,5,9,22,1.5,3.5,2.5,5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,31,27,4,87.10%,,10,3,6,8,0,1,0,3
,RGQ,IPSWICH HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,45,37,8,82.22%,,21,3,7,6,1.5,2,0.5,4
,R1F,ISLE OF WIGHT NHS TRUST,NON-ADMITTED,ALL CANCERS,26.5,23.5,3,88.68%,,6,5,5,7.5,1.5,0,0,1.5
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15.5,13,2.5,83.87%,,8,2,1,2,1.5,1,0,0
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28.5,28,0.5,98.25%,,14.5,5,2,6.5,0,0,0,0.5
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,38.5,34,4.5,88.31%,,15,5,9,5,1.5,1,0,2
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,21.5,21,0.5,97.67%,,14.5,1,0,5.5,0,0.5,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,42.5,34.5,8,81.18%,,11,3,9.5,11,3,3.5,0.5,1
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,69.5,48.5,21,69.78%,,6.5,6,12.5,23.5,5.5,7.5,3,5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,NON-ADMITTED,ALL CANCERS,21.5,19.5,2,90.70%,,8,4,3.5,4,1.5,0,0,0.5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,6.5,6.5,0,100.00%,,4,0.5,1.5,0.5,0,0,0,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,2,0.5,1.5,25.00%,,0,0,0,0.5,0,0,0,1.5
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,25.5,19,6.5,74.51%,,7,1,6,5,3.5,1.5,0.5,1
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,27,23,4,85.19%,,11,1,5,6,2,0,0,2
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,NON-ADMITTED,ALL CANCERS,35,29.5,5.5,84.29%,,7,8.5,8,6,2,1,0.5,2
,RPA,MEDWAY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,40.5,38,2.5,93.83%,,8,10,10,10,2,0,0,0.5
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37.5,35,2.5,93.33%,,20,4.5,3.5,7,0.5,1,0.5,0.5
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,50,41.5,8.5,83.00%,,21.5,8,8,4,2.5,1,1,4
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,41.5,31.5,10,75.90%,,11,4,3.5,13,5,2.5,2,0.5
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,37,32,5,86.49%,,14,1,7,10,3,0.5,0,1.5
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,35.5,26,9.5,73.24%,,8,1,4,13,2.5,4,1.5,1.5
,RVJ,NORTH BRISTOL NHS TRUST,NON-ADMITTED,ALL CANCERS,43,37.5,5.5,87.21%,,11,6.5,11.5,8.5,2.5,0.5,1,1.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,30.5,28.5,2,93.44%,,13,5.5,5,5,1,0,1,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,20,10,10,50.00%,,2,0.5,3,4.5,1.5,1,4,3.5
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15,14,1,93.33%,,7,1,1,5,0,0,0,1
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,33.5,23.5,10,70.15%,,10.5,1,2,10,4,4,1,1
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,16.5,15.5,1,93.94%,,5,3,3,4.5,1,0,0,0
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,29.5,26,3.5,88.14%,,6,2,5,13,0.5,1.5,0.5,1
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,26.5,23.5,3,88.68%,,9.5,2.5,5.5,6,0,1.5,0.5,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,51.5,38,13.5,73.79%,,17.5,6.5,7.5,6.5,4.5,3,3.5,2.5
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,57,42,15,73.68%,,8,3,13,18,2.5,7,3,2.5
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,48,44,4,91.67%,,7,7.5,12,17.5,0.5,1.5,0.5,1.5
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,32.5,30,2.5,92.31%,,9,1,4,16,1.5,1,0,0
,RK9,PLYMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,97,90,7,92.78%,,54,13,14,9,3,2,1,1
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,15,11.5,3.5,76.67%,,4,3.5,2,2,2,1,0,0.5
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,64.5,53,11.5,82.17%,,15,1,11,26,7,2,1,1.5
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,2.5,2.5,0,100.00%,,2,0.5,0,0,0,0,0,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,60.5,54,6.5,89.26%,,40,6,3.5,4.5,0,2.5,0,4
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,47.5,43,4.5,90.53%,,25,3,3,12,2,2,0,0.5
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,54,39.5,14.5,73.15%,,12,8,6,13.5,3,3.5,5,3
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,28,22.5,5.5,80.36%,,12,3,2,5.5,1.5,1.5,1,1.5
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,15.5,14,1.5,90.32%,,8,2,1,3,1.5,0,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,31.5,25,6.5,79.37%,,10,0.5,8,6.5,1.5,0,1,4
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,64.5,58,6.5,89.92%,,30,5,6,17,2,4,0,0.5
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,34.5,33,1.5,95.65%,,25.5,0,2.5,5,0.5,0,1,0
,RNZ,SALISBURY NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,16.5,16.5,0,100.00%,,8,2,5,1.5,0,0,0,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,28.5,24.5,4,85.96%,,7,3,8,6.5,1,1,1,1
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,69,57,12,82.61%,,24,9,7.5,16.5,6.5,1,3,1.5
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,13.5,9,4.5,66.67%,,5,0,1,3,0,1,2.5,1
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,62,61,1,98.39%,,27,16,9,9,0,0,0,1
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,43,36,7,83.72%,,17,5,8,6,5,0,0,2
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,8,7.5,0.5,93.75%,,3,0,1,3.5,0.5,0,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,23,19.5,3.5,84.78%,,8,2,6,3.5,0.5,1,1,1
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,42.5,31.5,11,74.12%,,10,4,5,12.5,2,4.5,2,2.5
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,24,20,4,83.33%,,8,2,5.5,4.5,0.5,1.5,0,2
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,13,12,1,92.31%,,8.5,1,0,2.5,0.5,0,0,0.5
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,NON-ADMITTED,ALL CANCERS,35.5,30,5.5,84.51%,,14.5,5.5,5.5,4.5,2,1.5,0.5,1.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,18,16,2,88.89%,,7.5,3.5,2.5,2.5,1,0.5,0,0.5
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,NON-ADMITTED,ALL CANCERS,27.5,22.5,5,81.82%,,9,4,4,5.5,2,0,1,2
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,22,21,1,95.45%,,7,2.5,5,6.5,0.5,0,0,0.5
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,35.5,30.5,5,85.92%,,10,2,9.5,9,2,1,0,2
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,69.5,51.5,18,74.10%,,2.5,5,15.5,28.5,5,5,4.5,3.5
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,46,26.5,19.5,57.61%,,3,1,5.5,17,6,4,3,6.5
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,26.5,23,3.5,86.79%,,9,2,7.5,4.5,1.5,0.5,0.5,1
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,20,18,2,90.00%,,6,2,6,4,1,1,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,60.5,57,3.5,94.21%,,41.5,2,4,9.5,1,2,0.5,0
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,32,28.5,3.5,89.06%,,15,3.5,5,5,3,0.5,0,0
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",NON-ADMITTED,ALL CANCERS,36,33.5,2.5,93.06%,,17,2,7,7.5,1,1,0,0.5
,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,12.5,11.5,1,92.00%,,4,2,2.5,3,0,0,0.5,0.5
,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,34.5,31,3.5,89.86%,,14,5.5,5.5,6,0,2.5,0,1
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,26,22,4,84.62%,,7,2.5,4,8.5,2,1,0,1
,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0.5,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,NON-ADMITTED,ALL CANCERS,38.5,29,9.5,75.32%,,12,5,7,5,2.5,4,0.5,2.5
,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,NON-ADMITTED,ALL CANCERS,9,9,0,100.00%,,3,2,2,2,0,0,0,0
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,39,34.5,4.5,88.46%,,20,3,6,5.5,2,0.5,0,2
,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,NON-ADMITTED,ALL CANCERS,82.5,66,16.5,80.00%,,34,9,10,13,3,4,3,6.5
,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,10.5,5.5,5,52.38%,,2,0,1,2.5,1,1,1,2
,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,24.5,20.5,4,83.67%,,10,2.5,3,5,1,0,1.5,1.5
,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,60.5,51.5,9,85.12%,,17,3,9.5,22,3.5,5,0.5,0
,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,39.5,30.5,9,77.22%,,17.5,0,4.5,8.5,5.5,1,1,1.5
,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,NON-ADMITTED,ALL CANCERS,35,26.5,8.5,75.71%,,7,2,6.5,11,0.5,3,3,2
,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NON-ADMITTED,ALL CANCERS,35,32.5,2.5,92.86%,,12,9,5,6.5,2.5,0,0,0
